Municipality;Percentage of Smart Meters;Consumption per contract
Abrantes                   ;88.6145237806;417.8009728338
Aguiar da Beira            ;99.3783671778;229.5759446747
Alandroal                  ;80.7433275131;437.5854642055
Albergaria-a-Velha         ;96.6899330791;1118.4929574728
Albufeira                  ;94.1643070115;618.6606228552
Alcanena                   ;95.255337745;628.5392598327
Alcobaça                   ;93.6630925361;523.7215320237
Alcochete                  ;99.9304287329;591.9179921732
Alcoutim                   ;76.1613351878;160.2222929068
Alcácer do Sal             ;99.0175610954;821.9941654182
Alenquer                   ;99.5013284284;821.7902094421
Alfândega da Fé            ;98.4259714707;191.3346153468
Alijó                      ;77.1703819872;219.9358003809
Aljezur                    ;79.7202797203;295.8687866356
Aljustrel                  ;96.1813842482;2227.4947168428
Almada                     ;98.1310763889;334.5556121354
Almeida                    ;98.5622065728;173.5023428697
Almeirim                   ;91.0980733015;489.7936025641
Almodôvar                  ;97.8537650055;287.2092231721
Alpiarça                   ;98.6666666667;893.1010893333
Alter do Chão              ;98.8583660364;287.7535947199
Alvaiázere                 ;99.2847173761;212.9934609211
Alvito                     ;99.7583081571;916.6460126888
Amadora                    ;98.8187247945;384.4602349073
Amarante                   ;78.4496571172;295.0114364545
Amares                     ;95.1807228916;314.0541492537
Anadia                     ;87.0250726098;587.6858163713
Ansião                     ;99.4785762866;330.9099438903
Arcos de Valdevez          ;95.2230493226;398.8994739463
Arganil                    ;67.7702579111;361.5014017743
Armamar                    ;99.0419161677;323.5066229541
Arouca                     ;78.4793709978;329.5883937748
Arraiolos                  ;84.3855932203;426.2942966102
Arronches                  ;85.0022451729;358.6631396498
Arruda dos Vinhos          ;99.5219123506;396.3833152722
Aveiro                     ;99.713206353;1250.2919018375
Avis                       ;99.5362702882;1317.5660804902
Azambuja                   ;99.3356585285;1038.1915616177
Baião                      ;94.0056357271;223.4827436598
Barcelos                   ;88.7095042062;592.5045473599
Barrancos                  ;98.1922760887;303.3820328677
Barreiro                   ;99.6278270827;313.7893342604
Batalha                    ;99.9269311065;681.3025709812
Beja                       ;99.5994659546;2019.8541980863
Belmonte                   ;97.8646253022;215.6823696616
Benavente                  ;97.0081490105;715.8277108265
Bombarral                  ;99.4392309453;366.6644309911
Borba                      ;73.9880239521;384.9769432335
Boticas                    ;88.2265591854;283.3645848536
Braga                      ;93.2838958755;544.293557968
Bragança                   ;91.0372232034;327.5120752276
Cabeceiras de Basto        ;89.2563563372;241.3997931562
Cadaval                    ;88.4748246624;308.9833094316
Caldas da Rainha           ;99.5496485062;404.0955354789
Caminha                    ;98.2597809077;217.8271937402
Campo Maior                ;98.3976833977;869.8309474903
Cantanhede                 ;90.4148005525;707.9335322506
Carrazeda de Ansiães       ;99.3997817388;173.4771074936
Carregal do Sal            ;97.4941160183;304.4527777932
Cartaxo                    ;96.6440160865;562.6613552905
Cascais                    ;96.2037645606;391.9202461772
Castanheira de Pêra        ;97.3235065943;297.788367339
Castelo Branco             ;88.1252315672;376.5974270332
Castelo de Paiva           ;99.1143724696;432.5943326164
Castelo de Vide            ;97.997928892;418.4115098378
Castro daire               ;85.1141330743;200.4484150073
Castro Marim               ;80.7295099978;491.4305060426
Castro Verde               ;98.7142857143;306.7533195918
Celorico da Beira          ;99.3259904652;209.8838601019
Celorico de Basto          ;86.9545118343;305.2720339312
Chamusca                   ;97.2148978247;871.8578431114
Chaves                     ;93.2753451287;291.6742139962
Cinfães                    ;65.3585030634;201.192948253
Coimbra                    ;99.7420159305;575.1126655559
Condeixa-a-Nova            ;99.7182182725;414.5389589249
Constância                 ;99.4915254237;2836.1293983051
Coruche                    ;98.6121060172;728.8627459706
Covilhã                    ;94.8841671605;467.1655305172
Crato                      ;98.8375847594;240.2916125283
Cuba                       ;99.3782722513;538.6843537304
Elvas                      ;92.395320197;466.6939316502
Entroncamento              ;99.6694348142;464.2438647908
Espinho                    ;99.3092194724;358.1564868643
Esposende                  ;99.8633292983;351.2147549299
Estarreja                  ;98.9615710653;3862.0671648771
Estremoz                   ;90.2548397681;416.5965149295
Fafe                       ;89.6497262389;366.3582610908
Faro                       ;95.7826672257;476.8966808421
Felgueiras                 ;81.1419572224;476.2046480369
Ferreira do Alentejo       ;99.2742251863;1260.5303601412
Ferreira do Zêzere         ;98.0328717484;441.8276358224
Figueira da Foz            ;84.506415186;1999.6597867608
Figueira de Castelo Rodrigo;98.7211780663;191.8844454563
Figueiró dos Vinhos        ;98.0445834963;215.2458228393
Fornos de Algodres         ;99.3174924166;210.6677790698
Freixo de Espada À Cinta   ;97.3360655738;179.59125
Fronteira                  ;99.6372430472;317.6513514712
Fundão                     ;99.1737616911;311.9877998155
Gavião                     ;99.505670253;201.9788479209
Golegã                     ;99.2798847816;735.7220782525
Gondomar                   ;86.6913033965;362.4123017918
Gouveia                    ;99.219704804;211.4036523456
Grândola                   ;99.2481203008;572.5740950764
Guarda                     ;92.0697356579;470.8134738158
Guimarães                  ;95.1757328654;708.8454753561
Góis                       ;92.0501232539;162.5385112983
Idanha-a-Nova              ;80.9136180808;282.8104252059
Lagoa                      ;98.6061696873;509.1532680507
Lagos                      ;91.9155691439;412.3604687794
Lamego                     ;99.9550940219;304.8030598933
Leiria                     ;95.6317410457;639.6770616096
Lisboa                     ;98.5900493792;619.2251353171
Loulé                      ;90.5288614018;615.1101607464
Loures                     ;97.5227100162;495.8906411955
Lourinhã                   ;99.6438254213;332.920841901
Lousada                    ;96.8593189964;367.8213042563
Lousã                      ;99.6349730575;355.7203751086
Macedo de Cavaleiros       ;94.9853228963;223.5616253262
Mafra                      ;94.2324702477;419.1586029672
Maia                       ;97.9375961138;1418.7612452895
Mangualde                  ;98.7691131498;950.0179253823
Manteigas                  ;97.5646309479;260.7852671413
Marco de Canaveses         ;84.842883549;399.3679147082
Marinha Grande             ;99.9877531025;1885.2667141166
Marvão                     ;69.4485294118;298.9302841912
Matosinhos                 ;95.6368206225;524.6472866654
Mação                      ;93.6756512573;261.7781219696
Mealhada                   ;98.8264360716;607.465031148
Melgaço                    ;88.3954701616;193.7495865886
Mesão Frio                 ;98.0;216.5645604255
Mira                       ;99.7150127226;488.1023458524
Miranda do Corvo           ;97.9133858268;251.4205274278
Miranda do douro           ;95.4623689563;261.5370276952
Mirandela                  ;98.2265951806;273.7050100159
Mogadouro                  ;95.5818832531;226.5090757744
Moimenta da Beira          ;97.7435530086;269.5224585721
Moita                      ;97.9238222177;242.0156434101
Monchique                  ;78.0741410488;385.2929511754
Mondim de Basto            ;96.7120622568;226.776744358
Monforte                   ;97.3525313516;383.1856614027
Montalegre                 ;70.2194357367;168.0987605799
Montemor-o-Novo            ;99.5032954437;541.6686527844
Montemor-o-Velho           ;61.0814656706;289.1996236215
Montijo                    ;99.7115831912;516.4811444565
Monção                     ;96.6648553186;320.1243039669
Mora                       ;80.259813612;370.9634947755
Mortágua                   ;96.1303150811;596.9636260324
Moura                      ;98.4062961141;482.2754237088
Mourão                     ;99.2723492723;406.2047323285
Murtosa                    ;98.7573964497;325.4095788166
Murça                      ;99.1529304029;201.2274297161
Mértola                    ;98.9394326604;164.7418542039
Mêda                       ;98.1105241772;162.1659278748
Nazaré                     ;99.8080105925;353.9656517047
Nelas                      ;94.922713611;1598.971342529
Nisa                       ;88.8921669863;190.3753491665
Odemira                    ;76.0925973035;388.5639440346
Odivelas                   ;99.4700166847;274.5649037074
Oeiras                     ;95.7995542143;484.5808700909
Oleiros                    ;79.7752808989;361.1845739547
Olhão                      ;90.9217691593;339.6992177248
Oliveira de Azeméis        ;87.5679012346;894.1130855247
Oliveira de Frades         ;97.3748473748;652.7768559219
Oliveira do Bairro         ;99.476596381;901.623369523
Oliveira do Hospital       ;83.4379526799;550.8457291164
Ourique                    ;90.5405405405;443.9341999499
Ourém                      ;95.6944005062;440.4610673205
Ovar                       ;98.9181175877;807.4727848221
Palmela                    ;96.049453261;926.2847752526
Pampilhosa da Serra        ;99.3476592479;155.0655024942
Paredes                    ;98.5775556173;564.7127143078
Paredes de Coura           ;78.7476577139;306.4089572142
Paços de Ferreira          ;99.7109600812;650.3486761972
Pedrógão Grande            ;92.5401069519;270.8711342246
Penacova                   ;83.2595526561;279.2731623952
Penafiel                   ;93.0381381468;428.4541077855
Penalva do Castelo         ;98.9658738366;208.1238924509
Penamacor                  ;98.1546854942;159.7285407574
Penedono                   ;88.9703187981;164.8159208501
Penela                     ;99.2913186535;364.8139893698
Peniche                    ;90.8196580462;337.2612399691
Peso da Régua              ;96.1987725203;274.5529043754
Pinhel                     ;86.9752025534;189.4375754972
Pombal                     ;91.0397109937;567.8389576343
Ponte da Barca             ;82.3548740416;207.2901107338
Ponte de Lima              ;99.3719332679;339.539679843
Ponte de Sor               ;91.202620496;413.2516315395
Portalegre                 ;98.6201458703;634.6189689204
Portel                     ;92.3979467123;2858.5691143975
Portimão                   ;96.4854310604;383.7557233934
Porto                      ;99.5404740737;552.4552936059
Porto de Mós               ;99.547862946;780.4165791593
Proença-a-Nova             ;90.4499793587;215.8849069767
Póvoa de Lanhoso           ;94.0483249333;322.2590240142
Póvoa de Varzim            ;97.0257396516;354.8347594427
Redondo                    ;98.5020426691;439.5490451657
Reguengos de Monsaraz      ;97.3011162922;417.1945451462
Resende                    ;74.6052631579;188.7980356579
Ribeira de Pena            ;98.8578421375;509.9333334693
Rio Maior                  ;89.8105360444;1030.6150610752
Sabrosa                    ;93.7746420419;245.9034976136
Sabugal                    ;82.4184894759;148.6553695144
Salvaterra de Magos        ;99.5634920635;471.6731548413
Santa Comba Dão            ;97.3864665545;278.3034047095
Santa Maria da Feira       ;91.9181932459;657.1277815144
Santa Marta de Penaguião   ;94.332887104;172.4906238286
Santarém                   ;90.0048585619;693.4923824228
Santiago do Cacém          ;95.6833457804;457.3651179985
Santo Tirso                ;91.9046978964;1154.235346159
Sardoal                    ;94.1554054054;226.9684307432
Seia                       ;89.2273110424;255.3425162124
Seixal                     ;91.5916891329;1057.4421169
Sernancelhe                ;79.0622299049;259.9427089455
Serpa                      ;99.1374353076;1073.1961817136
Sertã                      ;88.757926147;300.9717444983
Sesimbra                   ;99.6644941286;318.6958782829
Setúbal                    ;99.7136625768;1056.0917806174
Sever do Vouga             ;96.7267426451;340.9741122449
Silves                     ;90.2547188115;430.3325742953
Sines                      ;98.6586875774;7386.1086034874
Sintra                     ;93.8057529041;350.6236064371
Sobral de Monte Agraço     ;97.9298545766;361.4200816082
Soure                      ;96.7128027682;488.5701185986
Sousel                     ;99.3059572007;515.7191801619
Sátão                      ;89.6466278819;215.8505499892
São Brás de Alportel       ;91.7402597403;351.1713216883
São João da Madeira        ;99.8251748252;652.6667448313
São João da Pesqueira      ;86.2508858965;226.2477753366
São Pedro do Sul           ;96.8593802066;285.662582056
Tabuaço                    ;99.2827394725;212.3796029616
Tarouca                    ;99.3557294064;236.1033779721
Tavira                     ;88.5335895149;334.8286282166
Terras de Bouro            ;99.4177018634;260.5856616848
Tomar                      ;86.4054615613;352.1258264693
Tondela                    ;75.7739609839;442.3302418363
Torre de Moncorvo          ;98.7773670742;235.6581971851
Torres Novas               ;90.3565490486;963.9028045446
Torres Vedras              ;91.5262869231;481.7306326295
Trancoso                   ;94.5518897737;216.6907067375
Trofa                      ;99.6023215821;788.287033104
Tábua                      ;66.8915243173;257.4464801436
Vagos                      ;97.3372395833;487.068264974
Vale de Cambra             ;95.3195045969;588.2776681103
Valença                    ;70.6197553331;450.4978138712
Valongo                    ;98.8960286527;413.7347967766
Valpaços                   ;98.2513096731;187.309255294
Vendas Novas               ;98.4610917538;529.8039603659
Viana do Alentejo          ;99.2965367965;393.6900378788
Viana do Castelo           ;95.5900986918;912.2965770171
Vidigueira                 ;99.0806945863;1429.6103102656
Vieira do Minho            ;89.5536562203;342.4459380342
Vila de Rei                ;97.4602203182;220.6369155447
Vila do Bispo              ;79.0103154433;420.0538309164
Vila do Conde              ;92.6468383975;653.8872746408
Vila Flor                  ;98.5791366906;206.0850742806
Vila Franca de Xira        ;96.4559448875;895.6873704843
Vila Nova da Barquinha     ;99.3236940299;337.2101758396
Vila Nova de Cerveira      ;96.7104270409;686.6025969519
Vila Nova de Famalicão     ;99.5136415412;1233.9503432534
Vila Nova de Foz Côa       ;92.0511649155;206.8794825643
Vila Nova de Gaia          ;94.5790760903;549.3877382339
Vila Nova de Paiva         ;99.2578039729;188.6925282689
Vila Nova de Poiares       ;72.4081297475;348.4299392322
Vila Pouca de Aguiar       ;86.3201623032;296.4943691431
Vila Real                  ;97.3356391242;368.6023195474
Vila Real de Santo António ;84.4708251185;280.617172826
Vila Velha de Ródão        ;98.9039515431;2644.3268073262
Vila Verde                 ;83.1868666093;359.6514188325
Vila Viçosa                ;99.2774566474;555.2083172998
Vimioso                    ;92.4932975871;144.9892099402
Vinhais                    ;97.0037453184;151.0525843988
Viseu                      ;92.1928111109;404.5105261855
Vizela                     ;99.8915009042;544.8739947559
Vouzela                    ;95.5667789001;296.0766049383
Águeda                     ;99.0129523968;928.3275171796
Évora                      ;99.3515358362;696.3759979212
Ílhavo                     ;99.5775040855;666.3867549524
Óbidos                     ;99.5215778168;507.9119670963
